#FamilyID	pvalue	Significant at 0.05
OG0000667	0.999	n
OG0000668	0.999	n
OG0000672	0.131	n
OG0000674	0.511	n
OG0000676	0.101	n
OG0000680	0	y
OG0000693	0	y
OG0000696	0.718	n
OG0000697	0.74	n
OG0000700	0.275	n
OG0000704	0.275	n
OG0000706	0.851	n
OG0000708	0.276	n
OG0000711	0.325	n
OG0000712	0.026	y
OG0000713	0	y
OG0000715	0	y
OG0000720	0.881	n
OG0000722	0.254	n
OG0000729	0.329	n
OG0000732	0.881	n
OG0000735	0.881	n
OG0000736	0.881	n
OG0000742	0.026	y
OG0000743	0.045	y
OG0000746	0.881	n
OG0000747	0.023	y
OG0000748	0.002	y
OG0000749	0.244	n
OG0000750	0	y
OG0000755	0	y
OG0000757	0.881	n
OG0000759	0.026	y
OG0000761	0.254	n
OG0000762	0.007	y
OG0000764	0.881	n
OG0000765	0.021	y
OG0000766	0.74	n
OG0000772	0	y
OG0000773	0.182	n
OG0000775	0.329	n
OG0000776	0.881	n
OG0000777	0.263	n
OG0000780	0.001	y
OG0000781	0.013	y
OG0000782	0.001	y
OG0000784	0.881	n
OG0000786	0.881	n
OG0000787	0.329	n
OG0000788	0.007	y
OG0000789	0.33	n
OG0000790	0	y
OG0000791	0.244	n
OG0000792	0.044	y
OG0000793	0.881	n
OG0000794	0.004	y
OG0000796	0.881	n
OG0000799	0.329	n
OG0000801	0.851	n
OG0000805	0	y
OG0000807	0.199	n
OG0000809	0.33	n
OG0000810	0.325	n
OG0000813	0.312	n
OG0000836	0.615	n
OG0000845	0	y
OG0000847	0.426	n
OG0000850	0.063	n
OG0000853	0.615	n
OG0000858	0.125	n
OG0000860	0.565	n
OG0000861	0	y
OG0000866	0.128	n
OG0000868	0.007	y
OG0000869	0.133	n
OG0000873	0.097	n
OG0000875	0.095	n
OG0000876	0	y
OG0000878	0.562	n
OG0000879	0.007	y
OG0000881	0.562	n
OG0000883	0.126	n
OG0000886	0.135	n
OG0000892	0.005	y
OG0000893	0.008	y
OG0000896	0.128	n
OG0000897	0.097	n
OG0000901	0.022	y
OG0000902	0.072	n
OG0000904	0.562	n
OG0000906	0.006	y
OG0000907	0.615	n
OG0000908	0	y
OG0000910	0.005	y
OG0000911	0.13	n
OG0000912	0.005	y
OG0000915	0.615	n
OG0000916	0.006	y
OG0000920	0.001	y
OG0000921	0.008	y
OG0000922	0.072	n
OG0000926	0.007	y
OG0000928	0.419	n
OG0000929	0.006	y
OG0000930	0	y
OG0000931	0.005	y
OG0000932	0.562	n
OG0000933	0.615	n
OG0000937	0.005	y
OG0000941	0.615	n
OG0000942	0	y
OG0000946	0.565	n
OG0000948	0.128	n
OG0000950	0.125	n
OG0000952	0.565	n
OG0000954	0	y
OG0000956	0.545	n
OG0000961	0.006	y
OG0000962	0.125	n
OG0000963	0.001	y
OG0000964	0.558	n
OG0000966	0.558	n
OG0000969	0.565	n
OG0000970	0.125	n
OG0000971	0.101	n
OG0000973	0.26	n
OG0000974	0.133	n
OG0000975	0.615	n
OG0000980	0.128	n
OG0000981	0.615	n
OG0000984	0.125	n
OG0000985	0.282	n
OG0000986	0.125	n
OG0000987	0.004	y
OG0000989	0.001	y
OG0000990	0.006	y
OG0000993	0.1	n
OG0001008	0	y
OG0001017	0.045	y
OG0001020	0.045	y
OG0001024	0.294	n
OG0001026	0.044	y
OG0001027	0.294	n
OG0001034	0.022	y
OG0001035	0.022	y
OG0001038	0.291	n
OG0001039	0.022	y
OG0001040	0.022	y
OG0001041	0.332	n
OG0001045	0.02	y
OG0001050	0.022	y
OG0001052	0.022	y
OG0001053	0.334	n
OG0001056	0.334	n
OG0001058	0.045	y
OG0001060	0.045	y
OG0001062	0.351	n
OG0001063	0	y
OG0001065	0.231	n
OG0001066	0.334	n
OG0001067	0.351	n
OG0001070	0.022	y
OG0001071	0.095	n
OG0001075	0.302	n
OG0001079	0.291	n
OG0001080	0.335	n
OG0001082	0.335	n
OG0001083	0.334	n
OG0001084	0.297	n
OG0001088	0.332	n
OG0001090	0.022	y
OG0001091	0.022	y
OG0001093	0.045	y
OG0001094	0.001	y
OG0001095	0.095	n
OG0001096	0.022	y
OG0001097	0.293	n
OG0001101	0.131	n
OG0001105	0	y
OG0001106	0.022	y
OG0001107	0.231	n
OG0001110	0.045	y
OG0001111	0.288	n
OG0001114	0.045	y
OG0001115	0.022	y
OG0001120	0.293	n
OG0001123	0.095	n
OG0001124	0.045	y
OG0001125	0.002	y
OG0001128	0.044	y
OG0001129	0.022	y
OG0001130	0.022	y
OG0001131	0.022	y
OG0001132	0.045	y
OG0001133	0.332	n
OG0001134	0.293	n
OG0001135	0.231	n
OG0001140	0.335	n
OG0001145	0.045	y
OG0001146	0.045	y
OG0001147	0.022	y
OG0001148	0.231	n
OG0001149	0.053	n
OG0001150	0.334	n
OG0001152	0.123	n
OG0001153	0.131	n
OG0001155	0.151	n
OG0001156	0.095	n
OG0001158	0.297	n
OG0001160	0.297	n
OG0001162	0.231	n
OG0001163	0.044	y
OG0001164	0.045	y
OG0001168	0.044	y
OG0001169	0.231	n
OG0001173	0.335	n
OG0001174	0.351	n
OG0001176	0.368	n
OG0001177	0.063	n
OG0001180	0.291	n
OG0001182	0.007	y
OG0001185	0.288	n
OG0001186	0.335	n
OG0001187	0.332	n
OG0001188	0.335	n
OG0001189	0.044	y
OG0001191	0.045	y
OG0001192	0.003	y
OG0001193	0.044	y
OG0001194	0.022	y
OG0001196	0.063	n
OG0001197	0.061	n
OG0001198	0.476	n
OG0001199	0.368	n
OG0001200	0.045	y
OG0001201	0.022	y
OG0001202	0.022	y
OG0001203	0.022	y
OG0001204	0.045	y
OG0001205	0	y
OG0001206	0.335	n
OG0001208	0.117	n
OG0001209	0.022	y
OG0001210	0.297	n
OG0001211	0.003	y
OG0001212	0.022	y
OG0001214	0.045	y
OG0001218	0.334	n
OG0001220	0.294	n
OG0001222	0.003	y
OG0001228	0.294	n
OG0001229	0.004	y
OG0001230	0.291	n
OG0001234	0.045	y
OG0001235	0.123	n
OG0001236	0.293	n
OG0001237	0.045	y
OG0001241	0.009	y
OG0001243	0.017	y
OG0001244	0	y
OG0001245	0.304	n
OG0001249	0.044	y
OG0001250	0.022	y
OG0001252	0.368	n
OG0001253	0.01	y
OG0001254	0.044	y
OG0001257	0.288	n
OG0001258	0.044	y
OG0001259	0.231	n
OG0001260	0.063	n
OG0001262	0.022	y
OG0001263	0.022	y
OG0001264	0.022	y
OG0001265	0.022	y
OG0001266	0.231	n
OG0001268	0.231	n
OG0001269	0.334	n
OG0001270	0.123	n
OG0001271	0.117	n
OG0001272	0.476	n
OG0001273	0.297	n
OG0001274	0.121	n
OG0001275	0.002	y
OG0001279	0.151	n
OG0001280	0.022	y
OG0001281	0.007	y
OG0001284	0.007	y
OG0001290	0	y
OG0001306	0.143	n
OG0001307	0.1	n
OG0001309	0	y
OG0001310	0.199	n
OG0001312	0.357	n
OG0001315	0.016	y
OG0001318	0.143	n
OG0001321	0.267	n
OG0001324	0.1	n
OG0001325	0.1	n
OG0001326	0.138	n
OG0001327	0.267	n
OG0001328	0.1	n
OG0001329	0.1	n
OG0001331	0.008	y
OG0001332	0.016	y
OG0001333	0.1	n
OG0001334	0.1	n
OG0001335	0.1	n
OG0001336	0.1	n
OG0001337	0.013	y
OG0001338	0.1	n
OG0001340	0.776	n
OG0001341	0.143	n
OG0001344	0.143	n
OG0001346	0.1	n
OG0001347	0.137	n
OG0001348	0.1	n
OG0001349	0.047	y
OG0001350	0.137	n
OG0001352	0.267	n
OG0001353	0.137	n
OG0001355	0.284	n
OG0001356	0.137	n
OG0001358	0.267	n
OG0001359	0.357	n
OG0001361	0.104	n
OG0001364	0.008	y
OG0001365	0.267	n
OG0001367	0.138	n
